site,id,lat,long,co2
Audubon,52,40.82612948,-112.1136511,X
Avocet,51,40.79483605,-112.1224293,X
South Saratoga,50,40.78436798,-112.1090292,X
Inland Sea,35,40.81524653,-112.1014463,X
Jade,53,40.82377783,-112.0682946,X
Prison,61,40.79840897,-112.0886449,X
Goat Farm,54,40.78767056,-112.0632723,X
Noggin,65,40.813268,-112.058954,X
Elephant Island,62,40.8520373,-112.0494716,X
Bird Rec,28,40.80213263,-112.0502301,X
Amelia Earhart,5,40.77868252,-112.028528,X
Harrison,26,40.83094632,-112.0315107,X
Ambassador,27,40.84623983,-112.0292595,X
Lakefront,57,40.86993297,-112.0233998,X
Power Pole,23,40.82220035,-112.0148561,X
Blackhawk,24,40.80677242,-112.0168237,X
Goggin,25,40.79351428,-112.0127451,X
Rudy,4,40.84445219,-112.0030936,X
Train Tracks,58,40.75423651,-112.0035456,X
Blue Lake,22,40.82992554,-111.9862039,X
Northpoint,56,40.84585248,-111.9820628,X
New State,63,40.87116705,-111.9813451,X
Wingpointe,34,40.77151937,-111.9774491,X
Drechsel,9,40.84176938,-111.9701548,X
KETO,60,40.74804853,-111.9678782,X
SLCMAD,64,40.816006,-111.954377,X
Hinckley,3,40.84080505,-111.9522232,X
ATV,29,40.82649956,-111.9440544,X
RAC Soccer,1,40.81566755,-111.9423211,X
Rose Park Golf,31,40.80013387,-111.9373306,X
Glendale,33,40.72764053,-111.9317967,X
Fair Park,32,40.77368687,-111.9200176,X
Deseret Nursery,37,40.74034564,-112.0294649,X
Lee Kay,30,40.72781706,-112.0457733,X
Frontage Corral,49,40.76893564,-112.0833599,X
O'Reillys,59,40.75614681,-112.0385663,X
Nibley Golf Course,221,40.710398,-111.872716,
Graystone Church,222,40.710842,-111.859296,
Stratford Ward,223,40.715254,-111.847231,
Fire Station #3,220,40.722358,-111.860128,
Downington Ave,211,40.730895,-111.857223,
1700 E. Church,224,40.729523,-111.841969,
White Church,225,40.738721,-111.837254,
Fire Station #10,216,40.75193,-111.825713,
Indian Hills Elementary,208,40.74037,-111.816866,
Fire Station #13,218,40.723648,-111.822666,
Canyon Rim Church,226,40.705864,-111.806695,
Rose Park Church,227,40.785305,-111.924865,
Fire Station #2,214,40.776333,-111.89899,
Fire Station #4,219,40.781594,-111.864795,
Fire Station #1,212,40.764295,-111.876123,
Senior Center,228,40.764297,-111.861971,
Fire Station #5,215,40.750031,-111.861323,
Tracy Aviary,207,40.742217,-111.875491,
300 E. Church,229,40.729612,-111.883171,
Fire Station #8,213,40.740865,-111.891203,
700 S. 200 W.,230,40.752834,-111.898097,
Fire Station #6,231,40.752326,-111.918378,